VARIABLES=Y/(B/2),X/C,CP
ZONE T="FIN SET  1 CP, MACH=  2.36"
   0.87500   0.00462   0.15524
   0.87500   0.00473   0.13775
   0.87500   0.00485   0.12034
   0.87500   0.00496   0.10301
   0.87500   0.00508   0.08575
   0.87500   0.00519   0.06854
   0.87500   0.00525   0.06022
   0.87500   0.00525   0.06022
   0.87500   0.03353   0.06022
   0.87500   0.06180   0.06022
   0.87500   0.09008   0.06022
   0.87500   0.11835   0.06022
   0.87500   0.14663   0.06022
   0.87500   0.17490   0.06022
   0.87500   0.20318   0.06022
   0.87500   0.23145   0.06022
   0.87500   0.25973   0.06022
   0.87500   0.28800   0.00140
   0.87500   0.28800   0.00140
   0.87500   0.31857   0.00140
   0.87500   0.34914   0.00140
   0.87500   0.37971   0.00140
   0.87500   0.41029   0.00140
   0.87500   0.44086   0.00140
   0.87500   0.47143  -0.00106
   0.87500   0.50200  -0.01049
   0.87500   0.53257  -0.00998
   0.87500   0.56314  -0.01049
   0.87500   0.59371  -0.01111
   0.87500   0.62429  -0.01170
   0.87500   0.65486  -0.01225
   0.87500   0.68543  -0.01275
   0.87500   0.71600  -0.08720
   0.87500   0.71600  -0.08720
   0.87500   0.74440  -0.08533
   0.87500   0.77280  -0.08183
   0.87500   0.80120  -0.08011
   0.87500   0.82960  -0.07894
   0.87500   0.85800  -0.07804
   0.87500   0.88640  -0.07733
   0.87500   0.91480  -0.07675
   0.87500   0.94320  -0.07626
   0.87500   0.97160  -0.07585
   0.87500   1.00000  -0.00176
ZONE T="FIN SET  2 CP, MACH=  2.36"
   0.99998   0.00000   1.21387
   0.99998   0.00008   1.17726
   0.99998   0.00032   1.07187
   0.99998   0.00072   0.91040
   0.99998   0.00126   0.71233
   0.99998   0.00192   0.50154
   0.99998   0.00269   0.30347
   0.99998   0.00353   0.14200
   0.99998   0.00444   0.15692
   0.99998   0.00456   0.13867
   0.99998   0.00469   0.12368
   0.99998   0.00481   0.11130
   0.99998   0.00494   0.09966
   0.99998   0.00507   0.08841
   0.99998   0.00519   0.07740
   0.99998   0.00532   0.06656
   0.99998   0.00545   0.05584
   0.99998   0.00558   0.04523
   0.99998   0.00571   0.03469
   0.99998   0.00584   0.02420
   0.99998   0.00592   0.01714
   0.99998   0.00592   0.01730
   0.99998   0.03412   0.03523
   0.99998   0.06233   0.03526
   0.99998   0.09054   0.03527
   0.99998   0.11875   0.03527
   0.99998   0.14696   0.03527
   0.99998   0.17517   0.03527
   0.99998   0.20337   0.03527
   0.99998   0.23158   0.03527
   0.99998   0.25979   0.03527
   0.99998   0.28800  -0.02250
   0.99998   0.28800  -0.02250
   0.99998   0.31857   0.00241
   0.99998   0.34914   0.00243
   0.99998   0.37971   0.00244
   0.99998   0.41029   0.00244
   0.99998   0.44086   0.00244
   0.99998   0.47143   0.00245
   0.99998   0.50200   0.00245
   0.99998   0.53257   0.00245
   0.99998   0.56314   0.00245
   0.99998   0.59371   0.00245
   0.99998   0.62429   0.00245
   0.99998   0.65486   0.00245
   0.99998   0.68543   0.00245
   0.99998   0.71600  -0.07154
   0.99998   0.71600  -0.07154
   0.99998   0.74440  -0.03661
   0.99998   0.77280  -0.03657
   0.99998   0.80120  -0.03656
   0.99998   0.82960  -0.03656
   0.99998   0.85800  -0.03656
   0.99998   0.88640  -0.03655
   0.99998   0.91480  -0.03655
   0.99998   0.94320  -0.03655
   0.99998   0.97160  -0.03655
   0.99998   1.00000   0.03718
